-e	-e	Rq-y
népszerűségét	népszerűségét	Nc-sn
népszerűsíteni	népszerűsít	Vmn
népszerűsítse	népszerűsít	Vmmp3s---y
népszerűsítsék	népszerűsít	Vmmp3p---y
népszerűtlen	népszerűtlen	Afp-sn
népszerűtlenek	népszerűtlen	Afp-pn
népség	népség	Nc-sn
népségek	népség	Nc-pn
néptelen	néptelen	Afp-sn
néptánccsoport	néptánccsoport	Nc-sn
néptömegek	néptömeg	Nc-pn
néptömeget	néptömeg	Nc-sa
néptől	nép	Nc-sb
népvezérünk	népvezér	Nc-sn---p1
népvándorlás	népvándorlás	Nc-sn
népzenéről	népzene	Nc-sh
népámító	népámító	Afp-sn
népén	nép	Nc-sp-----s
népén	nép	Nc-sp---s3
népének	nép	Nc-sd-----s
népének	nép	Nc-sd---s3
népének	népének	Nc-sn
népünk	nép	Nc-sn---p1
név	név	Nc-sn
néven	név	Nc-sp
névházassággal	névházasság	Nc-si
névjegy	névjegy	Nc-sn
névjegye	névjegy	Nc-sn---s3
névjegyének	névjegy	Nc-sd-----s
névjegyének	névjegy	Nc-sd---s3
névjegyének	névjegyének	Nc-sn
névleges	névleges	Afp-sn
névre	név	Nc-ss
névről	név	Nc-sh
névsor	névsor	Nc-sn
névsora	névsor	Nc-sn---s3
névsorhoz	névsor	Nc-st
névsorokat	névsor	Nc-pa
névsorral	névsor	Nc-si
névsorszerinti	névsorszerinti	Afp-sn
névsort	névsor	Nc-sa
névsorát	névsor	Nc-sa---s3
névtelen	névtelen	Afp-sn
névtelenek	névtelen	Afp-pn
névtelenül	névtelen	Afp-sw
névvel	név	Nc-si
névérték	névérték	Nc-sn
névértékben	névérték	Nc-s2
névértéke	névérték	Nc-sn---s3
névértékét	névérték	Nc-sa-----s
névértékét	névérték	Nc-sa---s3
névértékét	névértékét	Nc-sn
névértékű	névértékű	Afp-sn
néz	néz	Vmip3s---n
nézd	néz	Vmmp2s---y
nézegették	nézeget	Vmis3p---y
nézegettük	nézeget	Vmis1p---y
nézek	néz	Vmip1s---n
nézel	néz	Vmip2s---n
nézelődtek	nézelődik	Vmis3p---n
nézelődött	nézelődik	Vmis3s---n
nézelődött	nézelődött	Afp-sn
nézet	nézet	Nc-sn
nézet	nézet	Vmip3s---n
nézete	nézet	Nc-sn---s3
nézetei	nézet	Nc-pn---s3
nézeteinek	nézet	Nc-pd---s3
nézeteiről	nézet	Nc-ph---s3
nézeteit	nézet	Nc-pa---s3
nézetek	nézet	Nc-pn
nézetek	nézet	Vmip1s---n
nézeteket	nézet	Nc-pa
nézeteltérések	nézeteltérés	Nc-pn
nézeten	nézet	Nc-sp
nézett	néz	Vmis3s---n
nézett	nézett	Afp-sn
nézettel	nézet	Nc-si
nézettel	nézett	Afp-si
nézhetik	nézhet	Vmip3p---y
nézhettek	nézhet	Vmip2p---n
nézhettek	nézhet	Vmis3p---n
nézhettem	nézhet	Vmis1s---n
nézhettem	nézhet	Vmis1s---y
nézhető	nézhető	Afp-sn
nézi	néz	Vmip3s---y
nézik	néz	Vmip3p---y
nézne	néz	Vmcp3s---n
néznek	néz	Vmip3p---n
nézni	néz	Vmn
néznie	néz	Vmnp3s
néznék	néz	Vmcp1s---n
néznék	néz	Vmcp3p---y
nézte	néz	Vmis3s---y
nézted	néz	Vmis2s---y
néztek	néz	Vmip2p---n
néztek	néz	Vmis3p---n
néztem	néz	Vmis1s---n
néztem	néz	Vmis1s---y
nézték	néz	Vmis3p---y
néztünk	néz	Vmis1p---n
nézve	nézve	Rv
nézz	néz	Vmmp2s---n
nézze	néz	Vmmp3s---y
nézzem	néz	Vmmp1s---y
nézzen	néz	Vmmp3s---n
nézzetek	néz	Vmmp2p---n
nézzétek	néz	Vmmp2p---y
nézzük	néz	Vmip1p---y
nézzük	néz	Vmmp1p---y
nézzünk	néz	Vmmp1p---n
nézünk	néz	Vmip1p---n
néző	néző	Afp-sn
néző	néző	Nc-sn
nézőben	néző	Afp-s2
nézőben	néző	Nc-s2
nézőhelyért	nézőhely	Nc-sc
nézők	néző	Afp-pn
nézők	néző	Nc-pn
nézőket	néző	Afp-pa
nézőket	néző	Nc-pa
nézőpontjából	nézőpont	Nc-se---s3
nézőpontjának	nézőpont	Nc-sd---s3
nézőre	néző	Afp-ss
nézőre	néző	Nc-ss
nézőt	néző	Afp-sa
nézőt	néző	Nc-sa
nézőterű	nézőterű	Afp-sn
nívódíjak	nívódíj	Nc-pn
nívódíjakat	nívódíj	Nc-pa
nógrádi	nógrádi	Afp-sn
nóta	nóta	Nc-sn
nótája	nóta	Nc-sn---s3
nótájuk	nóta	Nc-sn---p3
nótákat	nóta	Nc-pa
nótára	nóta	Nc-ss
nótával	nóta	Nc-si
nótáznak	nótáz	Vmip3p---n
nótáznak	nótázik	Vmip3p---n
nóvum	nóvum	Nc-sn
növekedett	növekedett	Afp-sn
növekedett	növekedik	Vmis3s---n
növekedhet	növekedhet	Vmip3s---n
növekedjék	növekedik	Vmmp3p---y
növekedjék	növekedik	Vmmp3s---n
növekedne	növekedik	Vmcp3s---n
növekedni	növekedik	Vmn
növekedtek	növekedik	Vmip2p---n
növekedtek	növekedik	Vmis3p---n
növekedés	növekedés	Nc-sn
növekedésből	növekedés	Nc-se
növekedése	növekedés	Nc-sn---s3
növekedésre	növekedés	Nc-ss
növekedéssel	növekedés	Nc-si
növekedést	növekedés	Nc-sa
növekedését	növekedés	Nc-sa-----s
növekedését	növekedés	Nc-sa---s3
növekedését	növekedését	Nc-sn
növekszik	növekszik	Vmip3p---y
növekszik	növekszik	Vmip3s---n
növekvő	növekvő	Afp-sn
növelhették	növelhet	Vmis3p---y
növelhető	növelhető	Afp-sn
növeli	növel	Vmip3s---y
növelik	növel	Vmip3p---y
növelni	növel	Vmn
növelné	növel	Vmcp3s---y
növelte	növel	Vmis3s---y
növelték	növel	Vmis3p---y
növelése	növelés	Nc-sn---s3
növelésére	növelés	Nc-ss-----s
növelésére	növelés	Nc-ss---s3
növelését	növelés	Nc-sa-----s
növelését	növelés	Nc-sa---s3
növelését	növelését	Nc-sn
növelésével	növelés	Nc-si-----s
növelésével	növelés	Nc-si---s3
növendék-urakat	növendék-úr	Nc-pa
növendékét	növendék	Nc-sa-----s
növendékét	növendék	Nc-sa---s3
növendékét	növendékét	Nc-sn
növeszteni	növeszt	Vmn
növesztett	növeszt	Vmis3s---n
növesztett	növesztett	Afp-sn
növény	növény	Nc-sn
növényekkel	növény	Nc-pi
növényház	növényház	Nc-sn
növényi	növényi	Afp-sn
növésű	növésű	Afp-sn
nő	nő	Nc-sn
nő	nő	Vmip3s---n
nőcseléd	nőcseléd	Nc-sn
nőcselédek	nőcseléd	Nc-pn
nőcselédeket	nőcseléd	Nc-pa
nőcselédeknek	nőcseléd	Nc-pd
nőhöz	nő	Nc-st
női	nő	Nc-pn---s3
női	női	Afp-sn
nőies	nőies	Afp-sn
nőiesebbé	nőies	Afc-sn------s
nőiesebbé	nőies	Afc-sy
nője	nő	Nc-sn---s3
nője	nő	Vmmp3s---y
nőjenek	nő	Vmmp3p---n
nőjenek	nőjen	Nc-pn
nőjön	nő	Vmmp3s---n
nők	nő	Nc-pn
nőket	nő	Nc-pa
nőkhöz	nő	Nc-pt
nőkkel	nő	Nc-pi
nőknél	nő	Nc-p3
nőké	nő	Nc-pn-----s
nőkétől	nő	Nc-pb-----s
nőmozgalom	nőmozgalom	Nc-sn
nőnek	nő	Nc-sd
nőnek	nő	Vmip3p---n
nőnemű	nőnemű	Afp-sn
nős	nős	Afp-sn
nőszemélyek	nőszemély	Nc-pn
nősülendő	nősülendő	Afp-sn
nősülnöd	nősül	Vmnp2s
nőt	nő	Nc-sa
nőtagja	nőtag	Nc-sn---s3
nőtlen	nőtlen	Afp-sn
nőtlenségi	nőtlenségi	Afp-sn
nőtt	nő	Vmis3s---n
nőtt	nőtt	Afp-sn
nőttek	nő	Vmis3p---n
nőttek	nőtt	Afp-pn
nőtől	nő	Nc-sb
nővel	nő	Nc-si
nővér	nővér	Nc-sn
nővérek	nővér	Nc-pn
nővérrel	nővér	Nc-si
nővérszolgálat	nővérszolgálat	Nc-sn
o.	o.	Y
objektivitásban	objektivitás	Nc-s2
objektív	objektív	Afp-sn
ocsúdni	ocsúdik	Vmn
ocsúdott	ocsúdik	Vmis3s---n
ocsúdott	ocsúdott	Afp-sn
ocsúdó	ocsúdó	Afp-sn
oda	oda	Rp
oda-vissza	oda-vissza	Rg
odaadnak	odaad	Vmip3p---n
odaadom	odaad	Vmip1s---y
odaadta	odaad	Vmis3s---y
odaadtuk	odaad	Vmis1p---y
odaadták	odaad	Vmis3p---y
odaadást	odaadás	Nc-sa
odaadó	odaadó	Afp-sn
odabe	odabe	Rg
odabenn	odabenn	Rg
odabent	odabent	Rg
odadobott	odadob	Vmis3s---n
odadobott	odadobott	Afp-sn
odadörmögte	odadörmög	Vmis3s---y
odaejtette	odaejt	Vmis3s---y
odaengedi	odaenged	Vmip3s---y
odafentről	odafent	Afp-sh
odafigyelni	odafigyel	Vmn
odahaza	odahaza	Rg
odajutni	odajut	Vmn
odajött	odajön	Vmis3s---n
odajött	odajött	Afp-sn
odakerül	odakerül	Vmip3s---n
odakerültek	odakerül	Vmis3p---n
odakinn	odakinn	Rg
odakint	odakint	Rg
odaköszönt	odaköszön	Vmis3s---n
odaköszönt	odaköszönt	Afp-sn
odaköszönt	odaköszönt	Vmip3s---n
odakünn	odakünn	Rg
odalenn	odalenn	Rg
odaláncolta	odaláncol	Vmis3s---y
odalépett	odalép	Vmis3s---n
odalépett	odalépett	Afp-sn
odalépni	odalép	Vmn
odamenni	odamegy	Vmn
odamennie	odamegy	Vmnp3s
odament	odamegy	Vmis3s---n
odament	odament	Afp-sn
odament	odament	Vmip3s---n
odamozgósít	odamozgósít	Vmip3s---n
odanősült	odanősül	Vmis3s---n
odanősült	odanősült	Afp-sn
odapillant	odapillant	Vmip3s---n
odarajzoltam	odarajzol	Vmis1s---n
odarajzoltam	odarajzol	Vmis1s---y
odarajzoltam	odarajzolt	Afp-sn----s1
odasettenkedtem	odasettenkedik	Vmis1s---n
odasettenkedtem	odasettenkedik	Vmis1s---y
odaszaladni	odaszalad	Vmn
odaszállított	odaszállít	Vmis3s---n
odaszállított	odaszállított	Afp-sn
odaszíjazott	odaszíjaz	Vmis3s---n
odaszíjazott	odaszíjazott	Afp-sn
odaszólt	odaszól	Vmis3s---n
odaszólt	odaszólt	Afp-sn
odaszóltak	odaszól	Vmis3p---n
odaszóltak	odaszólt	Afp-pn
odatartja	odatart	Vmip3s---y
odatéved	odatéved	Vmip3s---n
odaugrott	odaugrik	Vmis3s---n
odaugrott	odaugrott	Afp-sn
odavagyok	odavan	Vmip1s---n
odavetőleg	odavetőleg	Rg
odavinni	odavisz	Vmn
odavitte	odavisz	Vmis3s---y
odavágta	odavág	Vmis3s---y
odaállt	odaáll	Vmis3s---n
odaállt	odaállt	Afp-sn
odaállásait	odaállás	Nc-pa---s3
odaértünk	odaér	Vmis1p---n
odaértünk	odaérik	Vmis1p---n
odaértünk	odaért	Afp-sn----p1
odaértünk	odaért	Vmip1p---n
odaírtam	odaír	Vmis1s---n
odaírtam	odaír	Vmis1s---y
odaírtam	odaírt	Afp-sn----s1
odaírták	odaír	Vmis3p---y
odaítélt	odaítél	Vmis3s---n
odaítélt	odaítélt	Afp-sn
odaült	odaül	Vmis3s---n
odaült	odaült	Afp-sn
odaütnek	odaüt	Vmip3p---n
odább	odább	Rg
odáig	odáig	Rg
odázhatja	odázhat	Vmip3s---y
odáznunk	odáz	Vmnp1p
offenzíváját	offenzíva	Nc-sa---s3
offenzívájával	offenzíva	Nc-si---s3
ok	ok	Nc-sn
oka	ok	Nc-sn---s3
okai	ok	Nc-pn---s3
okairól	ok	Nc-ph---s3
okait	ok	Nc-pa---s3
okból	ok	Nc-se
okiratban	okirat	Nc-s2
okkal	ok	Nc-si
okker	okker	Nc-sn
oklevelet	oklevél	Nc-sa
okmányait	okmány	Nc-pa---s3
okmányok	okmány	Nc-pn
okmányokat	okmány	Nc-pa
okmányszerűen	okmányszerű	Afp-sp
okmányszerűen	okmányszerű	Afp-sw
okmányt	okmány	Nc-sa
okok	ok	Nc-pn
okokból	ok	Nc-pe
okoknak	ok	Nc-pd
okokra	ok	Nc-ps
okolhatok	okolhat	Vmip1s---n
okolták	okol	Vmis3p---y
okom	ok	Nc-sn---s1
okos	okos	Afp-sn
okos	okos	Nc-sn
okosabb	okos	Afc-sn
okosabbak	okos	Afc-pn
okosan	okos	Afp-sw
okoskodott	okoskodik	Vmis3s---n
okoskodott	okoskodott	Afp-sn
okoskodás	okoskodás	Nc-sn
okosságát	okosság	Nc-sa---s3
okot	ok	Nc-sa
okoz	okoz	Vmip3s---n
okozhat	okozhat	Vmip3s---n
okozhatja	okozhat	Vmip3s---y
okozhatják	okozhat	Vmip3p---y
okozhatta	okozhat	Vmis3s---y
okozna	okoz	Vmcp3s---n
okozni	okoz	Vmn
okozott	okoz	Vmis3s---n
okozott	okozott	Afp-sn
okozta	okoz	Vmis3s---y
okozza	okoz	Vmip3s---y
okozza	okoz	Vmmp3s---y
okozó	okozó	Afp-sn
okozó	okozó	Nc-sn
okozója	okozó	Afp-sn----s3
okozója	okozó	Nc-sn---s3
oktalan	oktalan	Afp-sn
oktatás	oktatás	Nc-sn
oktatásban	oktatás	Nc-s2
oktatási	oktatási	Afp-sn
oktatáspolitikai	oktatáspolitikai	Afp-sn
oktatáspolitikusai	oktatáspolitikus	Nc-pn---s3
oktatáspolitikusaiból	oktatáspolitikus	Nc-pe---s3
oktatásra	oktatás	Nc-ss
oktatást	oktatás	Nc-sa
oktatásáról	oktatás	Nc-sh---s3
oktató	oktató	Afp-sn
oktató	oktató	Nc-sn
oktató-felvilágosító	oktató-felvilágosító	Afp-sn
oktató-felvilágosító	oktató-felvilágosító	Nc-sn
oktatóit	oktató	Afp-pa----s3
oktatóit	oktató	Nc-pa---s3
oktatóit	oktatói	Afp-sa
oktatónő	oktatónő	Nc-sn
október	október	Nc-sn
októberben	október	Nc-s2
októbere	október	Nc-sn---s3
októberi	októberi	Afp-sn
októberig	október	Nc-s9
októbertől	október	Nc-sb
októberében	október	Nc-s2-----s
októberében	október	Nc-s2---s3
októberében	októberében	Nc-sn
októberéig	október	Nc-s9-----s
októberéig	október	Nc-s9---s3
okuk	ok	Nc-sn---p3
okulni	okul	Vmn
okulva	okulva	Rv
okunk	ok	Nc-sn---p1
okvetlen	okvetlen	Afp-sn
okvetlen	okvetlen	Rg
okádékodban	okádék	Nc-s2---s2
okádékszagot	okádékszag	Nc-sa
okán	ok	Nc-sp---s3
okának	ok	Nc-sd---s3
okáról	ok	Nc-sh---s3
okát	ok	Nc-sa---s3
olaj	olaj	Nc-sn
olajat	olaj	Nc-sa
olajfestmény	olajfestmény	Nc-sn
olajfestéket	olajfesték	Nc-sa
olajipari	olajipari	Afp-sn
olajlámpát	olajlámpa	Nc-sa
olajnak	olaj	Nc-sd
olajos	olajos	Afp-sn
olajozatlan	olajozatlan	Afp-sn
olajozatlan	olajozatlan	Nc-sn
olajozott	olajoz	Vmis3s---n
olajozott	olajozott	Afp-sn
olajpogácsa	olajpogácsa	Nc-sn
olajportré	olajportré	Nc-sn
olajszagot	olajszag	Nc-sa
olajvállalkozó	olajvállalkozó	Afp-sn
olajvállalkozó	olajvállalkozó	Nc-sn
olajvásárlásaikat	olajvásárlás	Nc-pa---p3
olajízű	olajízű	Afp-sn
olasz	olasz	Afp-sn
olaszból	olasz	Afp-se
olaszoknak	olasz	Afp-pd
olaszul	olasz	Afp-sw
olaszunk	olasz	Afp-sn----p1
olaszé	olasz	Afp-sn------s
olcsó	olcsó	Afp-sn
olcsóbb	olcsó	Afc-sn
olcsóbban	olcsó	Afc-s2
olcsóbban	olcsó	Afc-sw
olcsóbbá	olcsó	Afc-sy
olcsón	olcsó	Afp-sp
olcsón	olcsó	Afp-sw
old	old	Vmip3s---n
oldal	oldal	Nc-sn
oldala	oldal	Nc-sn---s3
oldalad	oldal	Nc-sn---s2
oldalainak	oldal	Nc-pd---s3
oldalas	oldalas	Afp-sn
oldalba	oldal	Nc-sx
oldalfalon	oldalfal	Nc-sp
oldali	oldali	Afp-sn
oldalon	oldal	Nc-sp
oldalpillantást	oldalpillantás	Nc-sa
oldalra	oldal	Nc-ss
oldalról	oldal	Nc-sh
oldalszalonna	oldalszalonna	Nc-sn
oldalt	oldal	Nc-sa
oldalt	oldalt	Rg
oldalukra	oldal	Nc-ss---p3
oldalába	oldal	Nc-sx---s3
oldalában	oldal	Nc-s2---s3
oldalán	oldal	Nc-sp---s3
oldalára	oldal	Nc-ss---s3
oldaláról	oldal	Nc-sh---s3
oldalát	oldal	Nc-sa---s3
oldalával	oldal	Nc-si---s3
oldani	old	Vmn
oldaniuk	old	Vmnp3p
oldaná	old	Vmcp3s---y
oldható	oldható	Afp-sn
oldja	old	Vmip3s---y
oldja	old	Vmmp3s---y
oldják	old	Vmip3p---y
oldják	old	Vmmp3p---y
oldottunk	old	Vmis1p---n
oldottunk	oldott	Afp-sn----p1
oldunk	old	Vmip1p---n
oldódhat	oldódhat	Vmip3s---n
oldódott	oldódik	Vmis3s---n
oldódott	oldódott	Afp-sn
olefingyári	olefingyári	Afp-sn
oligarchia	oligarchia	Nc-sn
oligarchikus	oligarchikus	Afp-sn
oligarchiájától	oligarchia	Nc-sb---s3
olimpiai	olimpiai	Afp-sn
olimpián	olimpia	Nc-sp
oltalmazni	oltalmaz	Vmn
oltalmazó	oltalmazó	Afp-sn
oltalmazó	oltalmazó	Nc-sn
oltalmából	oltalom	Nc-se---s3
oltja	olt	Vmip3s---y
oltják	olt	Vmip3p---y
oltotta	olt	Vmis3s---y
oltárainál	oltár	Nc-p3---s3
oltószert	oltószer	Nc-sa
olvad	olvad	Vmip3s---n
olvadt	olvad	Vmis3s---n
olvadt	olvadt	Afp-sn
olvadáskor	olvadás	Nc-sm
olvadáskor	olvadáskor	Nc-sn
olvadó	olvadó	Afp-sn
olvas	olvas	Vmip3s---n
olvasat	olvasat	Nc-sn
olvasat	olvasat	Vmip3s---n
olvasatot	olvasat	Nc-sa
olvasgatott	olvasgat	Vmis3s---n
olvasgatott	olvasgatott	Afp-sn
olvashasson	olvashat	Vmmp3s---n
olvashatatlan	olvashatatlan	Afp-sn
olvashatod	olvashat	Vmip2s---y
olvashatunk	olvashat	Vmip1p---n
olvasható	olvasható	Afp-sn
olvashatók	olvasható	Afp-pn
olvasmányairól	olvasmány	Nc-ph---s3
olvasmányokat	olvasmány	Nc-pa
olvasmányokkal	olvasmány	Nc-pi
olvasna	olvas	Vmcp3s---n
olvasni	olvas	Vmn
olvasnia	olvas	Vmnp3s
olvasnivalót	olvasnivaló	Afp-sa
olvasnivalót	olvasnivaló	Nc-sa
olvasnunk	olvas	Vmnp1p
olvasná	olvas	Vmcp3s---y
olvasok	olvas	Vmip1s---n
olvasom	olvas	Vmip1s---y
olvasott	olvas	Vmis3s---n
olvasott	olvasott	Afp-sn
olvassa	olvas	Vmip3s---y
olvassa	olvas	Vmmp3s---y
olvassák	olvas	Vmip3p---y
olvassák	olvas	Vmmp3p---y
olvasta	olvas	Vmis3s---y
olvastad	olvas	Vmis2s---y
olvastak	olvas	Vmis3p---n
olvastam	olvas	Vmis1s---n
olvastam	olvas	Vmis1s---y
olvastatja	olvastat	Vmip3s---y
olvastatok	olvas	Vmis2p---n
olvastatok	olvastat	Vmip1s---n
olvastál	olvas	Vmis2s---n
olvasztotta	olvaszt	Vmis3s---y
olvasást	olvasás	Nc-sa
olvasói	olvasó	Afp-pn----s3
olvasói	olvasó	Nc-pn---s3
olvasói	olvasói	Afp-sn
olvasókat	olvasó	Afp-pa
olvasókat	olvasó	Nc-pa
olvasókörben	olvasókör	Nc-s2
oly	oly	Pd3-sn
olyan	olyan	Pd3-sn
olyanabb	olyan	Afc-sn
olyanforma	olyanforma	Afp-sn
olyanforma	olyanforma	Nc-sn
olyanformán	olyanforma	Afp-sp
olyanformán	olyanforma	Nc-sp
olyanformán	olyanformá	Afp-sp
olyanformán	olyanformá	Afp-sw
olyanformán	olyanformán	Rg
olyanféle	olyanféle	Afp-sn
olyanféle	olyanféle	Pd3-sn
olyankor	olyan	Pd3-sm
olyankor	olyankor	Rg
olyannak	olyan	Pd3-sd
olyannyira	olyannyi	Afp-ss
olyannyira	olyannyira	Rg
olyanok	olyan	Pd3-pn
olyanokat	olyan	Pd3-pa
olyanoknak	olyan	Pd3-pd
olyanra	olyan	Pd3-ss
olyasforma	olyasforma	Afp-sn
olyasformán	olyasforma	Afp-sp
olyasféle	olyasféle	Afp-sn
olyasmi	olyasmi	Afp-sn
olyasmim	olyasmi	Afp-sn----s1
olyasmire	olyasmi	Afp-ss
olyasmit	olyasmi	Afp-sa
olyasvalamin	olyasvalami	Nc-sp
olyasvalamivé	olyasvalami	Nc-sy
olyat	oly	Pd3-sa
olykor	oly	Pd3-sm
olykor	olykor	Rg
oláh	oláh	Afp-sn
omladozó	omladozó	Afp-sn
omlik	omlik	Vmip3s---n
omlott	omlik	Vmis3s---n
omlott	omlott	Afp-sn
omlottak	omlik	Vmis3p---n
omlottak	omlott	Afp-pn
onnan	onnan	Rg
onnét	onnét	Rg
ontja	ont	Vmip3s---y
ontotta	ont	Vmis3s---y
opciójukat	opció	Nc-sa---p3
opciós	opciós	Afp-sn
opera	opera	Nc-sn
operaház	operaház	Nc-sn
operaházat	operaház	Nc-sa
operaházban	operaház	Nc-s2
operarendezésben	operarendezés	Nc-s2
operarendező	operarendező	Afp-sn
operarendező	operarendező	Nc-sn
operaszínpadon	operaszínpad	Nc-sp
operatőr	operatőr	Nc-sn
operaénekes-vállalkozót	operaénekes-vállalkozó	Afp-sa
operaénekes-vállalkozót	operaénekes-vállalkozó	Nc-sa
operettben	operett	Nc-s2
operához	opera	Nc-st
operált	operál	Vmis3s---n
operált	operált	Afp-sn
operát	opera	Nc-sa
optimalizálással	optimalizálás	Nc-si
optimista	optimista	Afp-sn
optimistán	optimista	Afp-sp
optimizmus	optimizmus	Nc-sn
optimizmusa	optimizmus	Nc-sn---s3
optimizmusát	optimizmus	Nc-sa---s3
optimálisan	optimális	Afp-sw
optimálisra	optimális	Afp-ss
opáljaimat	opál	Nc-pa---s1
opáljaitól	opál	Nc-pb---s3
oratórium	oratórium	Nc-sn
orcára	orca	Nc-ss
ordináré	ordináré	Afp-sn
ordít	ordít	Vmip3s---n
ordítania	ordít	Vmnp3s
ordított	ordít	Vmis3s---n
ordított	ordított	Afp-sn
ordította	ordít	Vmis3s---y
ordítottak	ordít	Vmis3p---n
ordítottak	ordított	Afp-pn
ordítottál	ordít	Vmis2s---n
ordítozik	ordítozik	Vmip3s---n
ordítoztak	ordítoz	Vmis3p---n
ordítoztak	ordítozik	Vmis3p---n
ordítozták	ordítoz	Vmis3p---y
ordítozták	ordítozik	Vmis3p---y
ordítozással	ordítozás	Nc-si
ordítson	ordít	Vmmp3s---n
ordítás	ordítás	Nc-sn
ordítása	ordítás	Nc-sn---s3
ordításban	ordítás	Nc-s2
orgazdái	orgazda	Nc-pn---s3
orgazdának	orgazda	Nc-sd
orgazmust	orgazmus	Nc-sa
orgonabokor	orgonabokor	Nc-sn
orgonaillatot	orgonaillat	Nc-sa
ormaira	orom	Nc-ps---s3
ormótlan	ormótlan	Afp-sn
orosz	orosz	Nc-sn
oroszlán	oroszlán	Nc-sn
oroszlánokat	oroszlán	Nc-pa
oroszlánokkal	oroszlán	Nc-pi
oroszlánrészt	oroszlánrész	Nc-sa
oroszok	orosz	Nc-pn
oroszoknak	orosz	Nc-pd
oroszországi	oroszországi	Afp-sn
orr	orr	Nc-sn
orra	orr	Nc-sn---s3
orra	orr	Nc-ss
orra	orr	Nc-sx
orra-szája	orra-szája	Nc-sn---s3
orral	orr	Nc-si
orrhang	orrhang	Nc-sn
orrhangra	orrhang	Nc-ss
orrlyukaiba	orrlyuk	Nc-px---s3
orrod	orr	Nc-sn---s2
orrom	orr	Nc-sn---s1
orrontok	orront	Vmip1s---n
orrot	orr	Nc-sa
orrukkal	orr	Nc-si---p3
orrukra	orr	Nc-ss---p3
orrunkat	orr	Nc-sa---p1
orrzöngésbe	orrzöngés	Afp-sx
orrzöngésbe	orrzöngés	Nc-sx
orrában	orr	Nc-s2---s3
orrából	orr	Nc-se---s3
orrán	orr	Nc-sp---s3
orrának	orr	Nc-sd---s3
orrára	orr	Nc-ss---s3
orrát	orr	Nc-sa---s3
orrától	orr	Nc-sb---s3
orrával	orr	Nc-si---s3
orrú	orrú	Afp-sn
ország	ország	Nc-sn
ország-világnak	ország-világ	Nc-sd
országa	ország	Nc-sn---s3
országaiban	ország	Nc-p2---s3
országba	ország	Nc-sx
országban	ország	Nc-s2
országból	ország	Nc-se
országgal	ország	Nc-si
országgyűlés	országgyűlés	Nc-sn
országgyűlésbe	országgyűlés	Nc-sx
országgyűlési	országgyűlési	Afp-sn
országgyűlésre	országgyűlés	Nc-ss
országhatáron	országhatár	Nc-sp
országhoz	ország	Nc-st
országnak	ország	Nc-sd
országok	ország	Nc-pn
országokat	ország	Nc-pa
országokban	ország	Nc-p2
országokból	ország	Nc-pe
országokhoz	ország	Nc-pt
országokkal	ország	Nc-pi
országoknak	ország	Nc-pd
országoktól	ország	Nc-pb
országon	ország	Nc-sp
országos	országos	Afp-sn
országosan	országos	Afp-sw
országot	ország	Nc-sa
országra	ország	Nc-ss
országrészben	országrész	Nc-s2
országrészeken	országrész	Nc-pp
országtól	ország	Nc-sb
országuk	ország	Nc-sn---p3
országunk	ország	Nc-sn---p1
országutakon	országút	Nc-pp
országában	ország	Nc-s2---s3
országát	ország	Nc-sa---s3
országéval	ország	Nc-si-----s
országút	országú	Afp-sa
országút	országút	Nc-sn
országúti	országúti	Afp-sn
országúton	országút	Nc-sp
országútra	országút	Nc-ss
ortodox	ortodox	Nc-sn
orv	orv	Afp-sn
orv	orv	Nc-sn
orvos	orvos	Afp-sn
orvos	orvos	Nc-sn
orvos-összeesküvés	orvos-összeesküvés	Nc-sn
orvosai	orvos	Afp-pn----s3
orvosai	orvos	Nc-pn---s3
orvosegyetemek	orvosegyetem	Nc-pn
orvoshoz	orvos	Afp-st
orvoshoz	orvos	Nc-st
orvosi	orvosi	Afp-sn
orvosnak	orvos	Afp-sd
orvosnak	orvos	Nc-sd
orvosok	orvos	Afp-pn
orvosok	orvos	Nc-pn
orvosoknak	orvos	Afp-pd
orvosoknak	orvos	Nc-pd
orvosolható	orvosolható	Afp-sn
orvossal	orvos	Afp-si
orvossal	orvos	Nc-si
orvosság	orvosság	Nc-sn
orvossága	orvosság	Nc-sn---s3
orvosságot	orvosság	Nc-sa
orvostanár	orvostanár	Nc-sn
orvostanárról	orvostanár	Nc-sh
orvostudomány	orvostudomány	Nc-sn
orvosé	orvos	Afp-sn------s
orvosé	orvos	Nc-sn-----s
orvtámadások	orvtámadás	Nc-pn
orákulumoknak	orákulum	Nc-pd
os	os	X
osan	osan	X
oslói	oslói	Afp-sn
ossza	oszt	Vmmp3s---y
osszák	oszt	Vmmp3p---y
ostoba	ostoba	Afp-sn
ostobaság	ostobaság	Nc-sn
ostobaságaiban	ostobaság	Nc-p2---s3
ostobaságnak	ostobaság	Nc-sd
ostobaságok	ostobaság	Nc-pn
ostobaságot	ostobaság	Nc-sa
ostobaságával	ostobaság	Nc-si---s3
ostobák	ostoba	Afp-pn
ostobán	ostoba	Afp-sp
ostobán	ostoba	Afp-sw
ostobának	ostoba	Afp-sd
ostor	ostor	Nc-sn
ostorcsattogással	ostorcsattogás	Nc-si
ostorozta	ostoroz	Vmis3s---y
ostorpattogtató	ostorpattogtató	Afp-sn
ostrom	ostrom	Nc-sn
